timestamp,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore,sumOpenInterest,sumOpenInterestValue
2022-05-27,43.44,43.95,39.93,41.17,7547814.8,2022-05-27 23:59:59.999,315086453.0078,510421,3654355.59,152617780.113,0,,
2022-05-28,41.18,45.08,40.33,44.25,4317517.06,2022-05-28 23:59:59.999,183339589.409,307558,2217878.72,94265083.3996,0,,
2022-05-29,44.24,45.67,41.79,44.98,4628871.1,2022-05-29 23:59:59.999,202572097.5885,299730,2286989.42,100186292.2866,0,,
2022-05-30,44.98,48.39,44.27,47.22,5476313.14,2022-05-30 23:59:59.999,253574633.2647,349733,2803984.13,129876725.2018,0,,
2022-05-31,47.22,48.24,44.56,45.77,4479536.73,2022-05-31 23:59:59.999,207640573.6838,309278,2127982.03,98674635.4257,0,,
2022-06-01,45.78,46.12,39.51,40.11,4778696.94,2022-06-01 23:59:59.999,205803279.5537,336469,2321143.66,99989842.0396,0,,
2022-06-02,40.11,41.65,38.13,40.85,5153870.27,2022-06-02 23:59:59.999,206604815.9131,360847,2686932.09,107735279.1838,0,,
2022-06-03,40.86,41.54,37.63,38.28,4437324.64,2022-06-03 23:59:59.999,172766731.5807,344798,2100892.67,81893764.5822,0,,
2022-06-04,38.28,39.5,35.71,39.0,3736176.79,2022-06-04 23:59:59.999,139577288.6715,265233,1898179.52,70956100.8964,0,,
2022-06-05,39.02,40.22,37.85,38.52,3618511.38,2022-06-05 23:59:59.999,141881168.631,243413,1756086.74,68904461.1256,0,,
2022-06-06,38.53,44.87,38.33,42.39,6823258.3,2022-06-06 23:59:59.999,290291015.6326,488023,3410303.32,144912338.5087,0,,
2022-06-07,42.39,42.8,37.12,39.31,7677286.83,2022-06-07 23:59:59.999,302649368.6022,523590,3884413.95,152954376.948,0,,
2022-06-08,39.32,40.96,38.28,38.83,3988154.3,2022-06-08 23:59:59.999,156635684.2698,283280,2012253.89,79064629.8077,0,,
2022-06-09,38.83,41.97,38.44,39.96,4587327.75,2022-06-09 23:59:59.999,185342283.8484,285547,2186660.8,88273397.4489,0,,
2022-06-10,39.96,40.9,36.8,37.17,4364643.34,2022-06-10 23:59:59.999,168826417.9157,313613,2165683.57,83896463.4823,0,,
2022-06-11,37.17,37.93,33.17,33.93,4638154.317,2022-06-11 23:59:59.999,164203312.634082,300132,2293782.57,81214373.7579,0,,
2022-06-12,33.94,34.5,30.56,30.61,6810748.104,2022-06-12 23:59:59.999,222245784.905825,400837,3329549.13,108692236.98294,0,,
2022-06-13,30.6,31.11,26.05,28.6,13336972.466,2022-06-13 23:59:59.999,372532264.645125,802782,6520919.69,182336265.8086,0,,
2022-06-14,28.59,32.32,25.86,29.59,11437619.27,2022-06-14 23:59:59.999,335148563.73442,671181,5712051.47,167627703.046,0,,
2022-06-15,29.59,34.86,26.79,34.76,12673444.09,2022-06-15 23:59:59.999,376046180.3309,806141,6299581.94,187204432.0969,0,,
2022-06-16,34.75,36.0,29.52,30.12,10418712.66,2022-06-16 23:59:59.999,335024040.421,605517,5210995.29,167584261.3739,0,,
2022-06-17,30.12,32.19,29.26,30.71,6274370.5,2022-06-17 23:59:59.999,195306060.2521,359804,3117542.33,97092456.1104,0,,
2022-06-18,30.72,32.06,27.15,32.02,9330644.34,2022-06-18 23:59:59.999,275582397.1253,555711,4481659.34,132469798.385,0,,
2022-06-19,32.01,35.4,28.68,34.19,9253122.78,2022-06-19 23:59:59.999,294048592.2679,592879,4564396.0,145353097.5734,0,,
2022-06-20,34.19,36.9,31.73,35.24,8218146.8,2022-06-20 23:59:59.999,281820809.8979,564975,4105638.47,140943448.8575,0,,
2022-06-21,35.25,39.19,34.2,36.42,7429098.76,2022-06-21 23:59:59.999,275003273.0888,524268,3705269.01,137254055.6303,0,,
2022-06-22,36.42,36.87,33.65,34.12,6494707.01,2022-06-22 23:59:59.999,227729988.5166,407107,3259381.95,114343205.9208,0,,
2022-06-23,34.13,38.65,33.91,38.15,7002610.45,2022-06-23 23:59:59.999,257121431.1557,443012,3602472.49,132276229.5538,0,,
2022-06-24,38.15,42.92,37.67,41.91,6583046.23,2022-06-24 23:59:59.999,263461013.4666,463015,3266628.64,130693448.5864,0,,
2022-06-25,41.91,42.64,39.73,42.22,4294211.07,2022-06-25 23:59:59.999,177460350.6068,334804,2090890.07,86415136.3452,0,,
2022-06-26,42.22,42.49,39.14,39.39,4024143.84,2022-06-26 23:59:59.999,164663443.9117,308030,1885381.29,77188468.5997,0,,
2022-06-27,39.39,41.25,37.9,38.52,4172937.4,2022-06-27 23:59:59.999,164427982.2266,289594,2035849.08,80247519.6567,0,,
2022-06-28,38.5,39.9,35.02,35.35,5581335.85,2022-06-28 23:59:59.999,209748465.2987,361164,2750704.2,103481792.1872,0,,
2022-06-29,35.34,36.12,33.1,34.05,5755278.44,2022-06-29 23:59:59.999,199587272.3007,362853,2854587.08,99023547.0242,0,,
2022-06-30,34.06,34.2,30.92,33.76,5337105.46,2022-06-30 23:59:59.999,171919474.3534,344452,2679028.5,86322445.5432,0,,
2022-07-01,33.76,35.4,31.82,32.84,6155756.76,2022-07-01 23:59:59.999,204979216.4937,368256,2978243.67,99231819.3172,0,,
2022-07-02,32.85,34.14,31.87,33.36,2740500.19,2022-07-02 23:59:59.999,90108872.2628,183520,1360450.68,44764081.7036,0,,
2022-07-03,33.36,33.77,32.14,33.39,2394572.39,2022-07-03 23:59:59.999,78904888.1308,154731,1189039.63,39209139.2784,0,,
2022-07-04,33.4,36.94,32.45,36.71,4064615.13,2022-07-04 23:59:59.999,140036013.5678,246563,2059932.84,70983921.0215,0,,
2022-07-05,36.71,36.99,33.03,35.4,6098472.04,2022-07-05 23:59:59.999,213296068.6633,352757,2941943.03,102867920.287,0,,
2022-07-06,35.41,37.65,34.8,37.04,5298552.9,2022-07-06 23:59:59.999,190911989.1768,333851,2579302.86,93001746.0564,0,,
2022-07-07,37.04,39.29,36.39,38.46,4091777.28,2022-07-07 23:59:59.999,154787628.7583,262606,2020439.66,76457135.8246,0,,
2022-07-08,38.46,39.72,36.46,38.12,5277992.76,2022-07-08 23:59:59.999,200786736.7789,354548,2745120.4,104521147.0954,0,,
2022-07-09,38.12,38.95,37.77,38.06,2088073.86,2022-07-09 23:59:59.999,80090467.8886,145253,1033158.37,39643187.0352,0,,
2022-07-10,38.06,38.14,36.26,36.71,2181587.6,2022-07-10 23:59:59.999,80772185.7284,148125,1082289.56,40063939.7126,0,,
2022-07-11,36.71,36.73,33.24,33.42,2927967.37,2022-07-11 23:59:59.999,102666563.3043,204049,1387777.29,48699082.0445,0,,
2022-07-12,33.42,34.61,32.6,32.68,3202970.4,2022-07-12 23:59:59.999,107886665.716,204957,1596769.5,53809820.5119,0,,
2022-07-13,32.69,35.08,31.82,34.94,4798032.13,2022-07-13 23:59:59.999,159907054.0099,275893,2380869.71,79382021.2595,0,,
2022-07-14,34.94,37.31,33.58,37.15,5214767.02,2022-07-14 23:59:59.999,183611446.5667,275359,2663220.3,93813233.0855,0,,
2022-07-15,37.14,39.1,36.49,37.36,4440629.04,2022-07-15 23:59:59.999,167467008.2313,281361,2166717.26,81763464.196,0,,
2022-07-16,37.36,40.41,36.35,39.58,3945225.2,2022-07-16 23:59:59.999,152184601.3786,259342,2010017.92,77636093.4432,0,,
2022-07-17,39.59,41.09,38.29,38.62,3795951.41,2022-07-17 23:59:59.999,150590859.7178,253441,1952168.69,77493203.1389,0,,
2022-07-18,38.61,44.07,38.55,43.52,6300282.95,2022-07-18 23:59:59.999,261136738.344,446880,3226523.54,133789592.6976,0,,
